antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'21754'}),frozenset({'85123A'}),0.03728685516943665,0.1067342974314699,0.011277789769048132,0.30246020260492035,2.8337676818374034,1.0,0.00729800347910934,1.2805946067943035,0.6721762597790315,0.08495934959349594,0.2191127506750262,0.20406124387071092
frozenset({'85123A'}),frozenset({'21754'}),0.1067342974314699,0.03728685516943665,0.011277789769048132,0.10566228513650151,2.833767681837404,1.0,0.00729800347910934,1.0764537029252992,0.7244349795045126,0.08495934959349594,0.07102367962275914,0.20406124387071092
frozenset({'84879'}),frozenset({'85123A'}),0.07419598532268508,0.1067342974314699,0.014623354198143751,0.1970909090909091,1.8465564849710452,1.0,0.006704097832491308,1.1125365407896095,0.4951927574879876,0.08792991563919533,0.10115311871890342,0.16704899347366486
frozenset({'85123A'}),frozenset({'84879'}),0.1067342974314699,0.07419598532268508,0.014623354198143751,0.13700707785642063,1.8465564849710454,1.0,0.006704097832491308,1.072782859421048,0.5132307684077203,0.08792991563919533,0.06784491267909235,0.16704899347366486
frozenset({'85123A'}),frozenset({'82494L'}),0.1067342974314699,0.04376214116123462,0.013813943449169004,0.1294236602628918,2.957434367437621,1.0,0.009143022058227817,1.0983963326266422,0.7409543199528814,0.10106592972759573,0.08958181095829303,0.22254166983551493
frozenset({'82494L'}),frozenset({'85123A'}),0.04376214116123462,0.1067342974314699,0.013813943449169004,0.3156596794081381,2.9574343674376213,1.0,0.009143022058227817,1.3052945671767169,0.6921594612324361,0.10106592972759573,0.23388940309240155,0.22254166983551493
frozenset({'82482'}),frozenset({'85123A'}),0.04726958774012519,0.1067342974314699,0.01661990071228146,0.3515981735159817,3.2941442626886617,1.0,0.011574614474963975,1.377642175088085,0.7309843532090927,0.12097407698350353,0.2741221065360743,0.25365550738488674
frozenset({'85123A'}),frozenset({'82482'}),0.1067342974314699,0.04726958774012519,0.01661990071228146,0.1557128412537917,3.2941442626886617,1.0,0.011574614474963975,1.1284435661377439,0.7796459913168866,0.12097407698350353,0.11382365055025306,0.25365550738488674
frozenset({'21733'}),frozenset({'85123A'}),0.036639326570256855,0.1067342974314699,0.024660047485430606,0.6730486008836524,6.305832493213269,1.0,0.020749374705592055,2.732105459657801,0.8734181078369043,0.20772727272727268,0.6339819180606406,0.4520450284499152
frozenset({'85123A'}),frozenset({'21733'}),0.1067342974314699,0.036639326570256855,0.024660047485430606,0.23104145601617795,6.305832493213269,1.0,0.020749374705592055,1.25281223671534,0.9419556288034466,0.20772727272727268,0.20179579134553352,0.4520450284499152
frozenset({'20725'}),frozenset({'85123A'}),0.06955536369522987,0.1067342974314699,0.012303043384416144,0.1768813033359193,1.657211483023891,1.0,0.004879100507815416,1.0852210090582803,0.4262227947064204,0.07502467917077987,0.07852871290450988,0.14607462537877866
